,P1,P2,P3,P4,P5,P6,P7,P8,P9
E,1.0892043697352367,1.191713543468342,1.5056858706388565,2.256917193159761,3.941877511129657,8.022262617851206,14.265824435249744,25.368621860434764,53.51994087714765
E_high,1.251485094184434,1.3065388380799035,1.6056568100801567,2.3847685334679674,4.221768392896758,8.517536828165206,15.433052366961784,28.39091667282395,89.55390877399482
E_low,0.9514425251349821,1.0912554154920344,1.4091787939193618,2.1414957174412077,3.6637636124811643,7.547586376710909,13.281738658302704,22.624222568325365,32.141145641824835
GF,0.0032863100615447526,0.005468400528408421,0.021381087836238214,0.03702551911640926,0.10513416559161146,0.17682237417850455,0.2807719612783785,0.6426692644860997,4.417831868656601
GF+,5.5941135781905574e-05,6.30411355749495e-05,0.0002668630584832174,0.0003885416046627774,0.0018069722794588072,0.00251349420409519,0.0044082778101268705,0.01765557652554295,0.647858015234017
GF-,6.0688111326479e-05,6.584953449700025e-05,0.00020883744898082465,0.00029257922312374285,0.0011991726979636297,0.0017163600352084196,0.0032386186964388775,0.011903665826323961,0.39883657804893247
