,E1,E2,E3,E4,E5,E6,E7
E,0.07136998820779036,0.106020689668199,0.16924491340933645,0.2775615953281198,0.9181013479068942,2.1191996570142773,7.0097596149373445
E_high,0.09177548368520268,0.1435558391798049,0.21427728740410143,0.32992687069379817,1.1919879656119372,3.1550604857068207,10.079805475146708
E_low,0.055358148952411465,0.0781948638827628,0.13375408944763315,0.2352565594439009,0.7101665913370564,1.434578973690385,4.9022841726462385
GF,0.000744084026271284,0.0023547057401371954,0.005482528319823421,0.005127093454252397,0.01902742886064727,0.1135490379756403,0.2955529518148407
GF+,4.407576153642146e-05,0.00017692625607747562,0.00031414777830010825,0.00019485103307045285,0.0011317644544316732,0.011627598549077231,0.02799650885304167
GF-,3.0765532479120456e-05,0.0001188050101714527,0.00020985025971215383,0.00013586989944603094,0.00080099321001725,0.0076059086849180335,0.018302999792083552
