,P1,P2,P3,P4,P5,P6,P7,P8,P9
E,1.1189949459517485,1.2243078243318797,1.5330166615576915,2.297884125990977,3.977492551202207,8.022262617851206,14.524773710478838,25.141467573528143,50.70819187632956
E_high,1.3157259281035252,1.356097047783742,1.6519779438932318,2.4297389744623636,4.270088314569492,8.633713966834957,15.921930092376614,28.009034286015392,93.20916481719583
E_low,0.9519399061432624,1.1038294066976289,1.428974937587994,2.1545803044543237,3.6749877492261436,7.519889127134641,13.214593682717476,22.523217844179257,27.477027019054116
GF,0.00342855623448415,0.005880008743912994,0.021265661596847237,0.03755246368057295,0.10601645885858789,0.1756915497430881,0.29450495230108736,0.6228600631156037,2.9599055009889925
GF+,7.700316516841797e-05,9.202210143432425e-05,0.00024601151621420417,0.0005327950333694556,0.0019311640800869223,0.0025119276899031595,0.006357998809416621,0.01627819147425935,0.5552349628859359
GF-,7.874074095820006e-05,8.796683981514807e-05,0.0002123524609220183,0.00036593596532658035,0.0012832844295466023,0.0018315009173413277,0.004465881596842081,0.011078717841187857,0.32994005417183336
