,PE1,PE2,PE3,PE4
E,0.45931367423648206,0.8467093878154391,2.4472135858801662,8.62078620999237
E_high,0.5835638328078523,1.3993789826262908,5.740261671511515,12.363324426076735
E_low,0.36053695379899375,0.5129656053244083,1.0521095728476058,5.966611556969123
GF,0.0022727929598530916,0.0007287398814616956,0.0004874322583354253,8.321864358632426e-06
GF+,0.00012672825997297197,9.458119794145592e-05,0.00014601189498001342,8.15268503791107e-07
GF-,8.8425771732742e-05,6.38927182934762e-05,8.40519183610514e-05,5.204656666371053e-07
