,P1,P2,P3,P4,P5,P6,P7,P8,P9
E,1.1189949459517485,1.2243078243318797,1.5330166615576915,2.2773085412033933,3.941877511129657,8.022262617851206,14.524773710478838,25.141467573528143,50.70819187632956
E_high,1.3205695488773035,1.35735973494876,1.6455684049665964,2.4085131711406396,4.232037606289004,8.583075879402369,15.940320711650292,27.99428048345101,93.4240711633911
E_low,0.9522566024311351,1.102293446859543,1.4229500249220528,2.1400666754741504,3.6420972316750593,7.500776323910487,13.218320268891286,22.53448253893071,27.4740949211543
GF,0.00339297797986906,0.00571929614975923,0.021130281674315715,0.03689541965989116,0.1054430318156869,0.17890016493482885,0.29476461271139304,0.6231813959101086,2.9513429087349863
GF+,7.030203790190552e-05,9.129652691551755e-05,0.00030163300997155043,0.0004892215265724503,0.0019201665354487973,0.0028302205209405906,0.006445965278190802,0.01621883132590607,0.552459940728137
GF-,7.572078970374992e-05,8.689289643919705e-05,0.00023488731133781277,0.0003486468143578045,0.0012759988952240758,0.0019258838489067398,0.004455788779096914,0.011031608006761173,0.32953106528026543
