,PE1,PE2,PE3,PE4,PE5,PE6
E,0.4676510082325783,0.8241677662985538,2.2166806233466865,8.62078620999237,26.775301817436077,12.133451960771676
E_high,0.5851212006368589,1.3257423744366215,5.158203734799679,12.590771944731483,27.235133946294397,14.404083636710494
E_low,0.37194992790604253,0.518392576286752,0.9675352045576238,5.900841471337149,26.499630721545326,10.171453180737755
GF,0.0019944301402097455,0.0006192197467306016,0.0003749758705828118,7.312229694482832e-06,2.7513657814327922e-06,1.9882174824425192e-07
GF+,0.00010619568110399689,7.118716148898593e-05,0.00010681007180712073,7.3861849530426e-07,8.609005779195944e-09,8.675243782569238e-09
GF-,7.319464690360767e-05,4.958934387170287e-05,6.333791383428044e-05,4.788649015895818e-07,6.077330182483046e-09,5.7663320553281525e-09
