,E1,E2,E3,E4,E5,E6,E7
E,0.07332201221022118,0.10892043697352369,0.16924491340933645,0.2750762689037563,0.9263964347542263,2.2367084321777915,6.464677658766367
E_high,0.09586117235553393,0.147846557267237,0.21621216427237688,0.3289498925597295,1.198863300463159,3.4693533033997697,8.781492681873587
E_low,0.05633605203645279,0.07968574246426258,0.13298592138352458,0.22992653527644236,0.7112958749614946,1.432472868631079,4.787109084493891
GF,0.0007911991425025455,0.0022973169575156533,0.005308870961753688,0.005267881906498958,0.01963322218802799,0.1339587299557098,0.2476901751226763
GF+,4.802600403869218e-05,0.0001732926882168132,0.0003054455157324304,0.00022055181308570145,0.0012348725834009401,0.01591755483045612,0.019168620640087203
GF-,3.397791959186037e-05,0.00011912427004962889,0.00020858345018441408,0.0001502769448369452,0.0008493729609238866,0.010303108882992185,0.012706583261922616
