,E1,E2,E3,E4,E5,E6,E7
E,0.07266547637276809,0.10697859135347235,0.16772947012552017,0.2750762689037563,0.9181013479068942,2.2166806233466865,6.464677658766367
E_high,0.0938661165385642,0.14556572709739835,0.2149397274396841,0.32885250719646497,1.19831321732201,3.454148777427686,8.777905504122035
E_low,0.05591963288099132,0.07800768179172005,0.13157500106851347,0.229468611029276,0.710022523538504,1.4270357504314202,4.787042648485159
GF,0.0007181721869354164,0.0022911117115975866,0.005338722505649909,0.0053279846351268504,0.01910546786520893,0.1318902237747132,0.2477727675027271
GF+,4.4650191386252686e-05,0.00017527027985042663,0.0003068872591992294,0.00022779916153314872,0.0011467368861200547,0.015624347174579334,0.019124445653687594
GF-,3.0542187188129085e-05,0.00011996299907816865,0.000211768053756424,0.0001540285986186673,0.0008027181612488173,0.010119568529005737,0.012709656446140777
